caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
29-01-10,-0.035751,-0.036781,-0.030955,-0.031612,-0.036974
26-02-10,0.030424,0.028014,0.043365,0.041277,0.028514
31-03-10,0.061014,0.05943,0.071014,0.069189,0.058796
30-04-10,0.015977,0.014957,0.028049,0.027344,0.014759
28-05-10,-0.080111,-0.082337,-0.073486,-0.075298,-0.081976
30-06-10,-0.053525,-0.055115,-0.061839,-0.06351,-0.053882
30-07-10,0.070451,0.06862,0.073614,0.071307,0.068778
31-08-10,-0.045434,-0.04784,-0.048287,-0.05024,-0.047449
30-09-10,0.090383,0.088751,0.104307,0.102651,0.087551
29-10-10,0.038726,0.037081,0.035946,0.034516,0.036856
30-11-10,-0.000051,-0.002571,0.008205,0.005952,-0.00229
31-12-10,0.067054,0.065249,0.072134,0.069927,0.0653
31-01-11,0.023349,0.022319,0.021935,0.021193,0.022646
28-02-11,0.032508,0.030251,0.041109,0.039253,0.031957
31-03-11,0.000625,-0.000867,0.009007,0.00743,-0.001047
29-04-11,0.029441,0.028358,0.031626,0.030817,0.028495
31-05-11,-0.011313,-0.013573,-0.005579,-0.007504,-0.013501
30-06-11,-0.016545,-0.018106,-0.019098,-0.020726,-0.018258
29-07-11,-0.019828,-0.020982,-0.035333,-0.036115,-0.021474
31-08-11,-0.054322,-0.056734,-0.063472,-0.065472,-0.056791
30-09-11,-0.070238,-0.071739,-0.090694,-0.092357,-0.071762
31-10-11,0.109014,0.107554,0.13445,0.133462,0.107723
30-11-11,-0.002727,-0.005552,-0.006582,-0.00909,-0.005059
30-12-11,0.009427,0.007613,0.001153,-0.000869,0.008533
31-01-12,0.045205,0.044003,0.056398,0.055587,0.043583
29-02-12,0.04334,0.040744,0.041965,0.039871,0.040589
30-03-12,0.032866,0.031282,0.023131,0.02127,0.031332
30-04-12,-0.006034,-0.007237,-0.007804,-0.008686,-0.007497
31-05-12,-0.05979,-0.062433,-0.070752,-0.072967,-0.062651
29-06-12,0.041465,0.039888,0.038297,0.036476,0.039555
31-07-12,0.014363,0.013096,0.002866,0.001957,0.012598
31-08-12,0.022744,0.019938,0.03079,0.028391,0.019763
28-09-12,0.02512,0.023547,0.024009,0.022222,0.024236
31-10-12,-0.017837,-0.019227,-0.007577,-0.008821,-0.019789
30-11-12,0.005326,0.002154,0.01364,0.010684,0.002847
31-12-12,0.008508,0.005902,0.024486,0.021415,0.007068
31-01-13,0.052361,0.051024,0.065471,0.06466,0.050428
28-02-13,0.013013,0.010511,0.011986,0.010007,0.011061
28-03-13,0.037584,0.036025,0.042925,0.040986,0.035988
30-04-13,0.019621,0.018482,0.015737,0.01496,0.018086
31-05-13,0.02312,0.020441,0.028394,0.026278,0.020763
28-06-13,-0.013601,-0.015262,-0.010495,-0.012486,-0.014999
31-07-13,0.050672,0.049287,0.055144,0.054234,0.049462
30-08-13,-0.029207,-0.031638,-0.027829,-0.029855,-0.031298
30-09-13,0.03166,0.030064,0.040402,0.038552,0.029749
31-10-13,0.046268,0.044953,0.042828,0.041839,0.044596
29-11-13,0.030817,0.028398,0.023739,0.021743,0.028049
31-12-13,0.02595,0.024196,0.029739,0.02771,0.023563
31-01-14,-0.034666,-0.035731,-0.029735,-0.03057,-0.035583
28-02-14,0.045757,0.043194,0.053918,0.051783,0.043117
31-03-14,0.008056,0.006537,0.007246,0.005368,0.006932
30-04-14,0.006555,0.005388,0.003358,0.002494,0.006201
30-05-14,0.023309,0.020895,0.023075,0.021072,0.02103
30-06-14,0.020635,0.019048,0.028313,0.026465,0.019058
31-07-14,-0.013974,-0.015278,-0.022524,-0.023461,-0.01508
29-08-14,0.039777,0.037446,0.04278,0.040768,0.037655
30-09-14,-0.013928,-0.015467,-0.025297,-0.027212,-0.015514
31-10-14,0.023972,0.0228,0.029874,0.028922,0.023201
28-11-14,0.027631,0.025159,0.024246,0.021776,0.024534
31-12-14,-0.002473,-0.004249,0.003469,0.001453,-0.004189
30-01-15,-0.02943,-0.030468,-0.028079,-0.028807,-0.031041
27-02-15,0.057008,0.054305,0.058624,0.056319,0.054893
31-03-15,-0.014993,-0.016628,-0.008459,-0.01039,-0.017396
30-04-15,0.0091,0.008004,0.003948,0.003039,0.008521
29-05-15,0.012522,0.010141,0.008756,0.006719,0.010491
30-06-15,-0.019343,-0.02102,-0.021924,-0.023766,-0.021012
31-07-15,0.021297,0.020101,0.009476,0.008606,0.019742
31-08-15,-0.060086,-0.062433,-0.053687,-0.05565,-0.062581
30-09-15,-0.024547,-0.026258,-0.033593,-0.035655,-0.026443
30-10-15,0.083449,0.082049,0.073634,0.072417,0.082983
30-11-15,0.003373,0.000817,0.002899,0.000376,0.000505
31-12-15,-0.015247,-0.017076,-0.025283,-0.027383,-0.01753
29-01-16,-0.0491,-0.05025,-0.055963,-0.056826,-0.050735
29-02-16,-0.001742,-0.004457,0.011832,0.009526,-0.004128
31-03-16,0.06734,0.065146,0.081025,0.078068,0.065991
29-04-16,0.003747,0.002576,0.012821,0.011978,0.002699
31-05-16,0.018487,0.015886,0.01448,0.012276,0.015329
30-06-16,0.002675,0.001002,-0.000108,-0.002048,0.000906
29-07-16,0.036571,0.035324,0.043329,0.042516,0.03561
31-08-16,0.001247,-0.001396,0.002249,0.000066,-0.001219
30-09-16,0.000446,-0.001033,0.000625,-0.001234,-0.001234
31-10-16,-0.017958,-0.019206,-0.024156,-0.025196,-0.019426
30-11-16,0.03579,0.033007,0.051613,0.049337,0.034174
30-12-16,0.0192,0.017569,0.010788,0.008847,0.018201
31-01-17,0.019384,0.018311,0.021092,0.020318,0.017884
28-02-17,0.039459,0.037052,0.03162,0.029694,0.037198
31-03-17,0.001664,0.000055,0.000183,-0.001775,-0.000389
